"Category ID","Category Name","HSN Code","GST Percent","Tax Type","Default UOM","Sort Order","Active Status","Image URL"
"","Atta, Rice & Dal","","","inclusive","kg","0","Active",""
"","Edible Oils & Ghee","","","inclusive","l","10","Active",""
"","Masalas & Spices","","","inclusive","g","20","Active",""
"","Dairy, Bread & Eggs","","","inclusive","piece","30","Active",""
"","Fruits & Vegetables","","","inclusive","kg","40","Active",""
"","Bakery, Biscuits & Cookies","","","inclusive","g","50","Active",""
"","Breakfast, Sauces & Spreads","","","inclusive","g","60","Active",""
"","Noodles, Pasta & Ready-to-Cook","","","inclusive","g","70","Active",""
"","Snacks & Namkeen","","","inclusive","g","80","Active",""
"","Chocolates & Sweets","","","inclusive","g","90","Active",""
"","Tea, Coffee & Health Drinks","","","inclusive","g","100","Active",""
"","Cold Drinks, Juices & Water","","","inclusive","ml","110","Active",""
"","Frozen Food & Ice Cream","","","inclusive","g","120","Active",""
