"Product Name","Description","Brand","Category","Price","Old Price","Discount Percentage","HSN Code","GST Percent","Tax Type","Unit","Unit Value","Promotor ID","Promotor Commission Rate","Promotor Commission Type","Promotor Commission Amount","Quantity","Stock Status","Active Status","Low Stock Threshold","Min Order Quantity","Max Order Quantity","Weight","Weight Unit","SKU","Seller","Warehouse","Storage Type","Estimated Delivery Time","Delivery Charges","Free Delivery Threshold","Serviceable Pincodes","Image 1","Image 2","Image 3","Image 4","Image 5","Video"
"Aashirvaad Shudh Chakki Atta","Aashirvaad Shudh Chakki Atta is a kitchen staple for everyday Indian cooking, in the Atta & Flour range. Pack size: 5kg.","Aashirvaad","Atta, Rice & Dal","","","0","","","inclusive","kg","5","","","","","","out-of-stock","Active","10","1","10","5","kg","","","","","","","","","","","","","",""
"Aashirvaad Multigrain Atta","Aashirvaad Multigrain Atta is a kitchen staple for everyday Indian cooking, in the Atta & Flour range. Pack size: 5kg.","Aashirvaad","Atta, Rice & Dal","","","0","","","inclusive","kg","5","","","","","","out-of-stock","Active","10","1","10","5","kg","","","","","","","","","","","","","",""
"Aashirvaad Select Sharbati Atta","Aashirvaad Select Sharbati Atta is a kitchen staple for everyday Indian cooking, in the Atta & Flour range. Pack size: 5kg.","Aashirvaad","Atta, Rice & Dal","","","0","","","inclusive","kg","5","","","","","","out-of-stock","Active","10","1","10","5","kg","","","","","","","","","","","","","",""
"Pillsbury Chakki Fresh Atta","Pillsbury Chakki Fresh Atta is a kitchen staple for everyday Indian cooking, in the Atta & Flour range. Pack size: 5kg.","Pillsbury","Atta, Rice & Dal","","","0","","","inclusive","kg","5","","","","","","out-of-stock","Active","10","1","10","5","kg","","","","","","","","","","","","","",""
"Patanjali Whole Wheat Atta","Patanjali Whole Wheat Atta is a kitchen staple for everyday Indian cooking, in the Atta & Flour range. Pack size: 5kg.","Patanjali","Atta, Rice & Dal","","","0","","","inclusive","kg","5","","","","","","out-of-stock","Active","10","1","10","5","kg","","","","","","","","","","","","","",""
"Fortune Chakki Fresh Atta","Fortune Chakki Fresh Atta is a kitchen staple for everyday Indian cooking, in the Atta & Flour range. Pack size: 5kg.","Fortune","Atta, Rice & Dal","","","0","","","inclusive","kg","5","","","","","","out-of-stock","Active","10","1","10","5","kg","","","","","","","","","","","","","",""
"Annapurna Whole Wheat Atta","Annapurna Whole Wheat Atta is a kitchen staple for everyday Indian cooking, in the Atta & Flour range. Pack size: 5kg.","Annapurna","Atta, Rice & Dal","","","0","","","inclusive","kg","5","","","","","","out-of-stock","Active","10","1","10","5","kg","","","","","","","","","","","","","",""
"India Gate Basmati Rice Classic","India Gate Basmati Rice Classic is a kitchen staple for everyday Indian cooking, in the Rice range. Pack size: 5kg.","India Gate","Atta, Rice & Dal","","","0","","","inclusive","kg","5","","","","","","out-of-stock","Active","10","1","10","5","kg","","","","","","","","","","","","","",""
"India Gate Basmati Rice Dubar","India Gate Basmati Rice Dubar is a kitchen staple for everyday Indian cooking, in the Rice range. Pack size: 1kg.","India Gate","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Daawat Rozana Basmati Rice","Daawat Rozana Basmati Rice is a kitchen staple for everyday Indian cooking, in the Rice range. Pack size: 5kg.","Daawat","Atta, Rice & Dal","","","0","","","inclusive","kg","5","","","","","","out-of-stock","Active","10","1","10","5","kg","","","","","","","","","","","","","",""
